species,unique_words
Aquari,"{'gaial', 'gaiax', 'pollex', 'leafon', 'biompr', 'terranix', 'biomar', 'hfrba', 'terram', 'aquos', 'sporlom', 'aviyna', 'floraz', 'insfctus', 'sorux', 'solux', 'floren', 'aqjos', 'aquoe', 'herbw', 'sporzom', 'gayax', 'nerba', 'petros', 'florgz', 'haunar', 'fephyr', 'arbsr', 'fobiar', 'nikbus', 'leofon', 'sponzom', 'aquon', 'ariana', 'mephyr', 'arbor', 'pluvia', 'rookix', 'faunar', 'pallex', 'folnar', 'seypod', 'insectus', 'yentus', 'riotix', 'zquos', 'zephyr', 'ekos', 'tekranix', 'soluz', 'floran', 'ventus', 'ieafon', 'foliar', 'fboraz', 'arcor', 'gaisx', 'leaion', 'rootix', 'aviana', 'seepod', 'terramix', 'herba', 'tehranix', 'xaunar', 'nimbus'}"
Cybex,"{'digitron', 'chyptoz', 'quantaz', 'lazeron', 'qulntaz', 'nanobyt', 'civcux', 'datas', 'crqptoz', 'algorid', 'nexus', 'syuapz', 'neulaz', 'nanocom', 'dawax', 'biotex', 'robonix', 'tecfnos', 'wronix', 'cybfon', 'aeon', 'techih', 'cbbron', 'techix', 'vazeron', 'nanozom', 'cybroi', 'cywrex', 'virtua', 'nantzom', 'mechun', 'weon', 'quantay', 'digitrop', 'codeu', 'quansix', 'quantix', 'modex', 'sechnos', 'datxx', 'roboqix', 'quanaaz', 'cydex', 'ueon', 'digitrtn', 'tecanos', 'cybron', 'acon', 'vexus', 'cybrex', 'technos', 'datax', 'djonix', 'yobonix', 'synadz', 'mechan', 'robonis', 'cixcux', 'cybrpx', 'neuraz', 'zechan', 'nzuraz', 'dronix', 'cryptoz', 'nunobyt', 'hollx', 'codex', 'synajz', 'algorix', 'drosix', 'holsx', 'lazerqn', 'synapz', 'robdnix', 'synafz', 'holox', 'circux'}"
Emotivor,"{'luvium', 'ekstax', 'sorrowz', 'sqockus', 'awozom', 'bliisam', 'jhamex', 'dredax', 'luzium', 'shamex', 'angstix', 'fopium', 'ragex', 'soyrowz', 'hopium', 'zenox', 'shockus', 'venox', 'sapix', 'hopipm', 'flarix', 'pridius', 'angsqix', 'disgue', 'gleea', 'tbustix', 'anxius', 'cacmox', 'bliskam', 'ragbx', 'calmox', 'disgub', 'awezon', 'blissam', 'pridiuo', 'jpyzor', 'euphorix', 'dreeax', 'excitar', 'duedax', 'joyzor', 'aneius', 'vridius', 'lenox', 'empathix', 'furio', 'lrvium', 'furix', 'gpeex', 'cridius', 'blissxm', 'awezom', 'ekstox', 'gleed', 'pridiun', 'gleek', 'geeex', 'dreiax', 'sadpx', 'shockss', 'sasix', 'rages', 'anxiuz', 'disgux', 'trustix', 'afgstix', 'przdius', 'truotix', 'anxids', 'angstic', 'dredzx', 'gleex', 'fearix', 'blisqam', 'sadix', 'bgissam', 'bdissam', 'disvux'}"
Faerix,"{'mermax', 'herox', 'nympha', 'mermav', 'nymphb', 'krakos', 'coblax', 'fabulon', 'epikoz', 'kzakos', 'mythxx', 'beastix', 'unikor', 'centarex', 'faeyix', 'gryohox', 'legax', 'gryphox', 'beastit', 'cenix', 'deftax', 'relikum', 'fenix', 'rrakos', 'drakos', 'ltrix', 'kgakos', 'goilax', 'goblam', 'elvex', 'centarea', 'krakoc', 'epikiz', 'deitax', 'rnlikum', 'sirenix', 'sagax', 'lorix', 'faoulon', 'beadtix', 'sagav', 'cycvopix', 'malix', 'mythox', 'epgkoz', 'deitzx', 'eegax', 'kmakos', 'relikzm', 'ebvex', 'gryphov', 'dmakos', 'sirtnix', 'eythox', 'krmkos', 'fefix', 'titanor', 'gryphod', 'znikor', 'centarkx', 'elqex', 'tetanos', 'gmblax', 'grbphox', 'goblax', 'xnikor', 'faerix', 'magix', 'cyclopix', 'heeox', 'tenix', 'titanos'}"
Florian,"{'akiana', 'pollex', 'gaiax', 'leafon', 'onsectus', 'sporpom', 'roltix', 'flodan', 'fsunar', 'biomar', 'terranix', 'cimbus', 'terram', 'aquos', 'seepoa', 'terrnm', 'avisna', 'floxan', 'selux', 'floraz', 'floren', 'seepos', 'solux', 'biomvr', 'arbon', 'sporzom', 'beepod', 'tkos', 'leffon', 'zgphyr', 'petros', 'aviaia', 'aqpos', 'sporzlm', 'solix', 'haunar', 'dootix', 'izsectus', 'gniax', 'ariana', 'arbor', 'pluvia', 'solax', 'oimbus', 'folwar', 'terrrm', 'faunar', 'seypod', 'insectus', 'floraj', 'zephyr', 'ekos', 'terkam', 'terpam', 'sllux', 'biumar', 'floran', 'ventus', 'yaiax', 'insestus', 'tprranix', 'foliar', 'folixr', 'avcana', 'hzrba', 'pesros', 'gaikx', 'rootix', 'aviana', 'seepod', 'gjiax', 'herba', 'lehfon', 'nimbub', 'pldvia', 'nimbus'}"
Mythron,"{'gobfax', 'elwex', 'fjerix', 'relikum', 'grypyox', 'magit', 'sagaa', 'heyox', 'feyix', 'faemix', 'centarer', 'fenwx', 'fenii', 'worix', 'eiikoz', 'fenpx', 'fabulon', 'beastix', 'unikor', 'sagsx', 'reljkum', 'sirenix', 'centarnx', 'lsrix', 'mormax', 'sagaq', 'feniy', 'corix', 'mermal', 'mermax', 'herox', 'beastij', 'centarex', 'gryphox', 'drakos', 'nydpha', 'mythjx', 'faerkx', 'blastix', 'lorix', 'mythox', 'faerix', 'cyclopix', 'ftbulon', 'sirepix', 'nympha', 'mzgix', 'krakos', 'epikoz', 'epikot', 'euvex', 'herux', 'sagau', 'gobqax', 'legax', 'beasxix', 'fenix', 'airenix', 'titayos', 'gryphpx', 'beastpx', 'elvex', 'gabulon', 'cycbopix', 'mytqox', 'deitax', 'mymhox', 'aoblax', 'sagax', 'deirax', 'sagmx', 'bitanos', 'surenix', 'goblex', 'draaos', 'ddakos', 'dpitax', 'goblax', 'dbakos', 'magix', 'titanos'}"
Nexoon,"{'digitron', 'quagtix', 'quantaz', 'lazeron', 'akon', 'nanobyt', 'fazeron', 'aeon', 'lazerom', 'holxx', 'biokex', 'neuraz', 'crypooz', 'techix', 'hechan', 'technds', 'nircux', 'quanyaz', 'biorex', 'dronix', 'cryftoz', 'cryptoz', 'tobonix', 'oronix', 'nexus', 'virtud', 'nanozom', 'ciwcux', 'dataz', 'tkchnos', 'codex', 'virtua', 'cybdex', 'digitvon', 'cybron', 'quaztaz', 'algorix', 'nawozom', 'aeqn', 'lazervn', 'nanozod', 'tvchnos', 'cebrex', 'robonib', 'synapz', 'yircux', 'nexhs', 'cybrex', 'technoc', 'qexus', 'droeix', 'dajax', 'dybron', 'oanobyt', 'technos', 'chbrex', 'datax', 'lazxron', 'techip', 'quantix', 'holox', 'chrcux', 'synapx', 'biotex', 'aeop', 'circux', 'mechan', 'circum', 'robonix', 'cosex'}"
Quixnar,"{'voutex', 'orbitzz', 'ngbulax', 'nokax', 'galaxuw', 'zorp', 'celwstar', 'novwx', 'novarr', 'cehestar', 'ornitaz', 'warpz', 'ufoi', 'astron', 'glixx', 'ghixx', 'cosmix', 'qualar', 'nxbulax', 'stardux', 'xenl', 'metlorn', 'vcrtex', 'mefeorn', 'febulax', 'uxox', 'nebulyx', 'astroh', 'corp', 'meteorn', 'vortex', 'kometk', 'lunrx', 'pulaar', 'nebuoax', 'puxsar', 'nebulax', 'ufow', 'blaloz', 'ufox', 'galaxum', 'solarih', 'nebuz', 'zolp', 'quasar', 'svardux', 'novax', 'hosmix', 'ustron', 'celejtar', 'bvapoz', 'pulsar', 'novgx', 'astrrn', 'lunox', 'xeno', 'cofmix', 'iovum', 'yosmix', 'astrln', 'novtm', 'novara', 'blapoz', 'nibulax', 'norax', 'novum', 'blapnz', 'gmlaxum', 'bqapoz', 'orbitaz', 'uhox', 'kkmeta', 'cewestar', 'glcxx', 'etardux', 'nebusax', 'cosmpx', 'qebuz', 'solarix', 'xenn', 'galaxym', 'celestar', 'yebuz', 'celistar', 'aslron', 'kometa', 'pulsox', 'warpu'}"
Sentire,"{'luvium', 'ekstdx', 'dredai', 'ekstax', 'sorrowz', 'dredax', 'ghamex', 'shamex', 'ragux', 'owezom', 'fearjx', 'excitav', 'egphorix', 'angstix', 'calmoa', 'dtsgux', 'euphorim', 'febrix', 'ragex', 'hopium', 'zenox', 'shockus', 'blnssam', 'zeqox', 'pridius', 'luvgum', 'angstox', 'jlyzor', 'blessam', 'annstix', 'angxtix', 'nrustix', 'zenrx', 'shockws', 'euphorgx', 'trusqix', 'trusuix', 'anxims', 'anxius', 'cenox', 'jxcitar', 'calmox', 'sudix', 'blissam', 'shockbs', 'euphorix', 'excitar', 'joyzor', 'cqlmox', 'truztix', 'vridius', 'euphorsx', 'empnthix', 'mopium', 'empathix', 'furio', 'boyzor', 'lumium', 'excvtar', 'hopjum', 'awezom', 'ekltax', 'sorrowa', 'kurio', 'kxcitar', 'awezox', 'disgux', 'trustix', 'anzius', 'zenow', 'empathtx', 'gleex', 'blissac', 'fearix', 'tqustix', 'sadix', 'ferrix'}"
Zorblax,"{'pulsoh', 'pclsox', 'lunol', 'ueox', 'stnrdux', 'cosmia', 'meteokn', 'zorp', 'ceaestar', 'horp', 'asbron', 'novafa', 'meteoen', 'blatoz', 'warpz', 'astron', 'puksox', 'glixx', 'xene', 'cosmix', 'odbitaz', 'stardux', 'junox', 'qudsar', 'nomax', 'zorf', 'nebulix', 'nxbuz', 'meteorn', 'vortex', 'neguz', 'kometr', 'nebulax', 'ufox', 'nivara', 'galaxum', 'nebuz', 'quasar', 'novax', 'ialaxum', 'nebuhax', 'pulsar', 'gyixx', 'sovax', 'lunox', 'xeno', 'ulapoz', 'oxbitaz', 'solarrx', 'kometo', 'lunbx', 'novara', 'eeno', 'stjrdux', 'blapoz', 'lunnx', 'novum', 'wanpz', 'orbitam', 'ncbuz', 'qfox', 'pulson', 'nebzz', 'orbitaz', 'kkmeta', 'solariy', 'astrob', 'zyrp', 'vorcex', 'pulsoo', 'solarix', 'movara', 'celestar', 'zalaxum', 'czlestar', 'pzlsar', 'orbitay', 'pulsox', 'kometa', 'rtardux', 'dortex', 'puqsox'}"
