,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
nanobyt,0.024847899,0.013658229,-0.037900627,-0.022817208,-0.035767447,0.045730244,0.034466516,0.005288638,0.018804137,0.047740523,-0.004359424,0.009731747,0.04037625,0.0074098706,-0.046923578,-0.019185413,0.042182874,0.0057216287,-0.02785033,-0.039220583,-0.00094970316,-0.025980389,-0.010218203,0.0036841035,0.00011490658,-0.037118852,0.03933264,-0.034793817,-0.04545753,-0.007981479,0.035712156,0.041328263
kzakos,-0.04573065,-0.00445316,-0.047460068,0.022347603,-0.021559525,-0.031214667,-0.040070117,0.041115012,0.041803565,-0.043690573,-0.040105045,-0.04875758,0.03352474,0.0064952,-0.017026614,0.030863795,-0.045859933,0.049562145,-0.018376492,0.03692067,-0.04003402,0.049054597,-0.005157195,-0.012140892,0.035066318,-0.01492212,0.033803847,0.032882977,-0.039657366,-0.034219705,-0.04200505,-0.019284058
civcux,-0.04466034,-0.033122648,-0.0067455545,-0.022946525,-0.0004101619,0.034268606,-0.013630558,-0.00015115738,-0.016192436,-0.045006763,0.029109742,0.012914468,0.046720292,0.049143206,-0.035751116,-0.026219094,-0.004821241,0.0016702302,-0.029179335,0.04537977,0.0070404187,-0.0016718395,-0.031965554,-0.027224815,0.041381393,0.049929325,0.0046407357,-0.023774838,0.04347625,-0.007206358,0.018564593,0.012409113
datas,0.006742321,0.006730307,-0.008510612,0.0069956183,-0.014289774,0.004556738,-0.019380784,0.012834702,-0.033937655,-0.00067787245,0.041035447,-0.022293568,0.0035240538,-0.0388541,-0.030203689,0.017583583,-0.019955505,0.014173415,0.009913802,0.022673298,0.021674667,-0.047624122,-0.02395518,0.03963509,0.017784003,-0.043048825,-0.04333966,0.021179806,0.009843778,-0.035576057,0.04029728,-0.010075174
fsunar,0.030301753,0.036532585,0.026934091,0.015353207,-0.03361553,0.04755265,0.002595771,0.03530791,-0.018974448,-0.012085378,-0.014870834,-0.00022044033,0.007015705,-0.0048991553,0.010220587,-0.0050921068,0.01008923,0.011780512,0.04041635,0.020817365,-0.04698453,-0.04173558,-0.03349029,0.012031268,-0.02229302,-0.02024181,0.036104586,0.0014044642,-0.010699224,-0.0007963404,-0.03502233,0.013809923
bliisam,0.048550595,0.03627222,-0.004660438,-0.032492697,-0.04300809,0.029108468,0.03420799,0.0018383041,0.021061864,-0.034396946,-0.040703226,0.003269352,-0.04771241,-0.008483898,-0.025830805,-0.04343126,0.018808786,0.021459494,-0.03434167,-0.03126482,0.0065848827,-0.04637892,-0.031780675,0.026969042,-0.016412236,-0.0073693395,-0.0337582,0.026710164,0.00985112,0.0005815141,-0.029882193,-0.04067763
selux,0.023102354,0.037244488,0.008207429,-0.0047061667,-0.029734338,-0.040999472,0.034804393,-0.039620172,-0.0071586,0.036754478,0.023251917,-0.03951459,0.01901294,-0.0054959543,-0.015306555,-0.038577855,-0.04738182,0.044863034,0.031593833,0.0018689036,-0.03388454,-0.029706514,-0.023707915,-0.041310288,-0.009355057,0.048011515,-0.036015354,-0.034956586,-0.0336745,-0.010504246,0.0032320023,0.017484438
floraz,0.00074093416,-0.044081118,0.04824288,0.0019139275,-0.0018775575,-0.031200303,0.03266492,0.045401994,0.019615974,-0.040500175,-0.045229018,-0.037077677,0.017148029,0.041542027,0.047507558,-0.042795897,-0.023370398,-0.03812156,0.010619581,0.021362688,0.019062463,0.035424743,-0.014467262,0.010168064,-0.047125936,0.014976349,0.009512506,0.02319802,-0.020070648,-0.046587706,0.04217008,-0.03036642
nokax,0.039716866,-0.034520052,0.02579863,-0.047192644,-0.04362781,0.02661692,-0.045698952,-0.0036149248,-0.040531624,0.04348315,-0.0452359,0.032185365,0.01766349,-0.02787788,0.016082454,0.015175749,-0.00966499,-0.0010719784,0.04584242,0.0033665076,0.024722684,-0.0452621,-0.04617944,-0.004617382,0.008125912,-0.033423662,-0.021152927,-0.00772525,0.02454907,-0.0008560531,0.044597793,-0.02997892
algorid,-0.06433608,-0.0116987415,0.06534167,0.033586416,-0.011518814,-0.04686285,0.030263197,0.03488118,0.030295696,-0.0074060187,0.015831117,-0.04668776,0.021976832,-0.044621672,0.003019441,-0.013286341,0.016915012,-0.022880316,-0.04399792,0.010722518,0.0076969042,0.034062985,0.0069398656,0.03412663,-0.029775,-0.024943138,-0.029164756,0.019614827,-0.029648317,-0.013879143,0.037704516,0.019663367
